dt,avg_ta,min_ta,max_ta,max_ta_hrmt,min_ta_hrmt,sum_rn,hr1_max_rn,mi10_max_rn,sum_rn_dur,n9_9_rn,mi10_max_rn_hrmt,hr1_max_rn_hrmt,min_rhm,avg_rhm,min_rhm_hrmt,hr24_sum_rws,avg_ws,max_ins_ws,max_ws,max_ins_ws_wd,max_ws_wd,max_wd,max_ins_ws_hrmt,max_ws_hrmt,ss_dur,sum_ss_hr,hr1_max_icsr,sum_gsr,hr1_max_icsr_hrmt,avg_tca,avg_lmac,avg_td,min_tg,avg_ts,avg_m1_5_te,avg_cm5_te,avg_cm10_te,avg_cm20_te,avg_cm30_te,avg_m0_5_te,avg_m1_0_te,avg_m5_0_te,avg_m3_0_te,dd_mes,dd_mefs,sum_dpth_fhsc,dd_mes_hrmt,dd_mefs_hrmt,avg_pv,avg_pa,avg_ps,min_ps,max_ps,min_ps_hrmt,max_ps_hrmt,sum_fog_dur,sum_lrg_ev,sum_sml_ev,iscs,code,x,y
1972-07-28,24.3,22.8,25.9,1509.0,600.0,,,,,,,,78.0,85.3,1027.0,2132.0,2.5,6.3,4.3,140.0,140.0,110.0,1437.0,1900.0,14.2,10.5,,,,5.0,-999.0,21.6,19.8,28.4,20.6,27.0,26.0,26.2,25.5,24.5,23.1,12.3,15.6,,,,,,25.8,1006.5,1009.7,1007.7,1011.8,2032.0,0.0,,,6.4,,90,128.5647,38.2509
1972-07-28,20.3,13.8,26.3,1240.0,600.0,,,,,,,,73.0,85.0,1145.0,1338.0,1.5,,4.0,0.0,70.0,90.0,,1320.0,14.2,13.1,,24.63,,3.5,-999.0,17.7,13.8,24.5,,23.6,23.0,22.4,21.2,20.4,18.0,,,,,,,,20.4,922.1,1015.0,1012.7,1017.8,1500.0,45.0,3.12,,6.4,-{안개}{강도0}-{시정(미만)}{0.2km}{안개}0147-{시정(미만)}{0.1km}{안개}0203-{안개}{강도2}(0.05)0300-{시정(이상)}{0.1km}{안개}0304-{낮은안개}(NE-SW)0307-{낮은안개}(NE-SW)0353-0733.,100,128.7587,37.6869
1972-07-28,27.0,20.7,34.7,1759.0,600.0,,,,,,,,43.0,74.8,1755.0,1378.0,1.6,4.3,3.0,320.0,320.0,320.0,312.0,230.0,14.2,12.6,,,,2.5,-999.0,21.7,18.1,29.0,21.6,28.6,28.3,27.7,26.9,26.8,24.0,15.8,17.0,,,,,,26.1,1000.6,1009.2,1006.5,1011.7,1824.0,740.0,,,6.8,{놀}1940-2002.,101,127.7357,37.9026
1972-07-28,25.4,22.1,29.8,1545.0,632.0,,,,,,,,63.0,81.0,1800.0,1136.0,1.3,4.1,3.7,50.0,50.0,50.0,1233.0,1220.0,14.2,9.3,,,,4.8,-999.0,21.8,20.9,28.3,19.5,29.4,27.7,26.9,25.9,25.3,22.0,13.0,14.8,,,,,,26.0,1006.6,1009.7,1007.5,1011.9,2400.0,0.0,,,5.9,-{박무}{강도0}-{박무}{강도0}0300-0410.  {박무}0810-{박무}{강도0}0900-1027.,105,128.891,37.7515
1972-07-28,28.4,23.6,33.8,1605.0,604.0,,,,,,,,55.0,78.5,1609.0,1526.0,1.8,7.6,5.3,270.0,270.0,270.0,1600.0,1600.0,14.2,9.1,,,,3.5,-999.0,24.2,22.3,27.9,20.9,28.5,27.4,26.6,25.7,25.0,23.2,13.2,15.5,,,,,,30.3,997.3,1007.2,1005.1,1008.8,1700.0,744.0,,,4.8,-{연무}{강도0}-{연무}{강도0}0300-0420.  {박무}0705-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1300.  {박무}1930-{박무}{강도0}2100-{박무}{강도0}-{박무}{강도1}2400-,108,126.9658,37.5714
1972-07-28,26.3,22.6,30.8,1450.0,600.0,,,,,,,,61.0,74.3,1415.0,2560.0,3.0,8.5,6.3,340.0,340.0,340.0,1602.0,1610.0,14.2,12.3,,,,3.5,-999.0,21.3,20.4,27.5,20.4,25.7,25.3,25.0,24.8,24.3,22.7,13.8,15.5,,,,,,25.3,1000.7,1008.8,1006.5,1010.6,1810.0,0.0,,,7.0,,112,126.6244,37.4776
1972-07-28,,19.5,33.5,1537.0,600.0,,,,,,,,,,,,0.7,,3.0,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{놀}1842-2113.,114,127.9466,37.3375
1972-07-28,27.0,21.8,32.3,1428.0,555.0,,,,,,,,60.0,84.5,1249.0,1062.0,1.2,,4.0,0.0,140.0,140.0,,1400.0,14.2,12.3,,19.13,,5.8,-999.0,23.9,19.9,27.1,20.0,27.2,26.4,26.3,25.6,25.1,22.9,12.7,14.6,,,,,,29.8,1004.6,1008.9,1006.6,1010.7,1650.0,3.0,4.12,6.3,6.3,{박무}0110-{박무}{강도0}0300-{시정(미만)}{1km}{안개}0420-{안개}{강도0}0600-{시정(이상)}{1km}{박무}0827-{박무}{강도0}0900-0947.,119,126.9853,37.2723
1972-07-28,,,,,,,,,,,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,127.9525,36.9705
1972-07-28,25.7,20.7,32.0,1511.0,544.0,,,,,,,,63.0,82.8,1424.0,1670.0,1.9,7.1,5.0,360.0,360.0,50.0,1316.0,1340.0,14.1,13.0,,,,2.8,-999.0,22.4,20.0,27.5,20.1,27.3,26.4,25.7,25.0,24.3,22.3,,,,,,,,27.3,1005.6,1008.0,1006.1,1009.6,1853.0,0.0,,,5.7,,129,126.4939,36.7766
