dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2001-09-03,21.1,14.0,2001-09-02 20:56:00+00:00,29.3,2001-09-03 05:49:00+00:00,0.0,,,7.0,,1.0,359.8,1402,603,127.8,36.8
2001-09-03,26.1,17.7,2001-09-02 21:20:00+00:00,33.5,2001-09-03 05:50:00+00:00,0.0,,,4.8,,0.9,22.3,1370,617,127.1561,36.8782
2001-09-03,23.1,17.1,2001-09-02 19:22:00+00:00,31.8,2001-09-03 07:35:00+00:00,0.0,,,6.4,,1.4,132.5,1385,650,127.3333,38.2833
2001-09-03,20.0,15.8,2001-09-02 18:02:00+00:00,26.2,2001-09-03 05:43:00+00:00,0.0,,,12.0,,3.3,75.8,1423,659,127.25,36.4167
2001-09-03,23.9,21.4,2001-09-02 21:04:00+00:00,27.1,2001-09-03 02:36:00+00:00,0.0,,,7.8,,1.8,20.0,1231,663,125.7869,36.9286
2001-09-03,26.0,18.1,2001-09-02 20:47:00+00:00,33.1,2001-09-03 06:47:00+00:00,0.0,,,4.7,,1.3,342.7,1386,699,126.4833,35.01
2001-09-03,25.2,23.7,2001-09-02 21:42:00+00:00,27.6,2001-09-03 05:29:00+00:00,0.0,,,11.2,,4.0,10.0,1417,700,125.9682,36.1251
2001-09-03,22.3,14.4,2001-09-02 21:32:00+00:00,30.4,2001-09-03 06:12:00+00:00,0.0,,,8.3,,1.5,64.0,1397,701,127.67,36.0
2001-09-03,25.6,19.5,2001-09-02 19:34:00+00:00,32.1,2001-09-03 07:26:00+00:00,0.0,,,4.7,,1.2,41.7,1425,702,126.9943,35.9385
2001-09-03,19.9,11.7,2001-09-02 21:12:00+00:00,29.0,2001-09-03 06:43:00+00:00,0.0,,,7.4,,0.8,91.4,1406,703,127.3783,35.7702
2001-09-03,25.5,22.3,2001-09-02 20:42:00+00:00,29.0,2001-09-03 05:54:00+00:00,0.0,,,10.3,,2.3,58.9,1414,704,126.463,35.6351
2001-09-03,23.7,16.0,2001-09-02 21:04:00+00:00,31.1,2001-09-03 06:18:00+00:00,0.0,,,9.1,,2.0,79.5,1386,706,126.9731,35.3114
2001-09-03,26.2,22.3,2001-09-02 21:33:00+00:00,31.0,2001-09-03 05:11:00+00:00,0.0,,,6.4,,1.5,350.6,1376,707,126.2076,35.0612
2001-09-03,26.1,18.5,2001-09-02 20:53:00+00:00,33.1,2001-09-03 06:19:00+00:00,0.0,,,3.4,,0.5,0.7,1404,708,126.7333,35.1167
2001-09-03,22.6,14.1,2001-09-02 21:12:00+00:00,31.4,2001-09-03 04:45:00+00:00,0.0,,,7.8,,1.5,78.0,1411,709,127.4333,35.1833
2001-09-03,25.8,18.1,2001-09-02 20:29:00+00:00,33.8,2001-09-03 07:30:00+00:00,0.0,,,6.8,,1.2,36.6,1415,710,126.7167,35.0167
2001-09-03,22.7,15.0,2001-09-02 21:18:00+00:00,30.5,2001-09-03 05:54:00+00:00,0.0,,,0.8,,0.1,350.1,1416,711,126.9886,34.8879
2001-09-03,25.1,20.0,2001-09-02 19:14:00+00:00,30.8,2001-09-03 07:02:00+00:00,0.0,,,8.7,,2.0,101.4,1417,712,127.4875,34.9506
2001-09-03,25.4,19.7,2001-09-02 19:15:00+00:00,31.7,2001-09-03 05:08:00+00:00,0.0,,,4.6,,0.9,51.8,1402,713,127.5829,34.976
2001-09-03,24.8,19.4,2001-09-02 16:57:00+00:00,29.8,2001-09-03 04:16:00+00:00,0.0,,,9.8,,2.0,25.2,1375,714,126.0474,34.8845
2001-09-03,25.0,19.9,2001-09-02 17:55:00+00:00,30.2,2001-09-03 06:52:00+00:00,0.0,,,5.5,,1.4,35.0,1390,716,126.0366,34.6069
2001-09-03,23.5,17.0,2001-09-02 21:13:00+00:00,31.0,2001-09-03 04:47:00+00:00,0.0,,,9.3,,1.5,53.8,1353,717,126.1915,34.4
2001-09-03,25.4,20.0,2001-09-02 21:05:00+00:00,32.0,2001-09-03 04:28:00+00:00,0.0,,,7.5,,1.0,44.4,1375,718,126.05,34.2833
2001-09-03,25.4,23.0,2001-09-02 21:20:00+00:00,28.7,2001-09-03 04:56:00+00:00,0.0,,,10.2,,4.7,328.5,1416,719,126.4,35.82
2001-09-03,26.0,19.0,2001-09-02 20:49:00+00:00,32.5,2001-09-03 07:06:00+00:00,0.0,,,8.5,,2.0,49.5,1416,783,126.81,35.19
2001-09-03,23.2,15.4,2001-09-02 20:34:00+00:00,30.5,2001-09-03 07:33:00+00:00,0.0,,,9.2,,1.8,5.5,1412,730,126.82,35.32
2001-09-03,26.0,20.8,2001-09-02 21:13:00+00:00,30.8,2001-09-03 03:48:00+00:00,0.0,,,8.1,,2.7,342.0,1383,742,126.35,34.95
2001-09-03,23.7,16.9,2001-09-02 21:08:00+00:00,31.3,2001-09-03 05:02:00+00:00,0.0,,,7.0,,1.5,178.4,1381,762,127.1136,35.5388
2001-09-03,24.8,18.2,2001-09-02 20:25:00+00:00,31.6,2001-09-03 05:51:00+00:00,0.0,,,9.3,,2.4,0.0,1410,769,126.3729,35.2159
2001-09-03,23.2,15.3,2001-09-02 20:58:00+00:00,32.9,2001-09-03 07:11:00+00:00,0.0,,,6.0,,0.7,0.6,1413,770,126.83,34.93
