dt,avg_ta,min_ta,max_ta,max_ta_hrmt,min_ta_hrmt,sum_rn,hr1_max_rn,mi10_max_rn,sum_rn_dur,n9_9_rn,mi10_max_rn_hrmt,hr1_max_rn_hrmt,min_rhm,avg_rhm,min_rhm_hrmt,hr24_sum_rws,avg_ws,max_ins_ws,max_ws,max_ins_ws_wd,max_ws_wd,max_wd,max_ins_ws_hrmt,max_ws_hrmt,ss_dur,sum_ss_hr,hr1_max_icsr,sum_gsr,hr1_max_icsr_hrmt,avg_tca,avg_lmac,avg_td,min_tg,avg_ts,avg_m1_5_te,avg_cm5_te,avg_cm10_te,avg_cm20_te,avg_cm30_te,avg_m0_5_te,avg_m1_0_te,avg_m5_0_te,avg_m3_0_te,dd_mes,dd_mefs,sum_dpth_fhsc,dd_mes_hrmt,dd_mefs_hrmt,avg_pv,avg_pa,avg_ps,min_ps,max_ps,min_ps_hrmt,max_ps_hrmt,sum_fog_dur,sum_lrg_ev,sum_sml_ev,iscs,code,x,y
1978-01-01,1.3,-1.0,4.0,1050.0,2155.0,,,,,,,,72.0,83.8,1620.0,687.0,0.8,,4.0,0.0,320.0,320.0,,1320.0,9.6,0.2,,10.24,,10.0,,-1.4,-2.2,2.3,,0.0,0.0,0.0,0.0,5.2,7.3,,,,,,,,5.5,1018.6,,,,,,,,0.4,-{박무}-{박무}{강도0}0900-{박무}{강도0}1500-{박무}{강도0}2100-,232,127.1213,36.7796
1978-01-02,-0.4,-1.8,2.2,1230.0,2320.0,0.9,,,6.38,1.8,,,55.0,88.0,1120.0,1170.0,1.4,,4.5,0.0,290.0,270.0,,2350.0,9.6,2.8,,10.87,,10.0,,-2.4,-4.7,1.3,,0.0,0.0,0.0,0.0,5.4,7.1,,,1.7,1.7,1.5,2120.0,2120.0,5.1,1020.7,,,,,,,,0.8,{눈}1302-{눈}{강도0}1500-1528.  {눈}1731-{눈}{강도0}2100-2128.  -{박무}-{박무}{강도0}0900-{박무}{강도0}2100-2100-,232,127.1213,36.7796
1978-01-03,-2.5,-5.2,0.4,1450.0,740.0,1.0,,,8.48,0.2,,,60.0,76.0,1500.0,726.0,0.8,,4.5,0.0,320.0,320.0,,1500.0,9.7,5.9,,11.35,,7.0,,-6.5,-6.2,1.6,,0.0,0.0,0.0,0.0,5.3,7.1,,,4.2,2.7,2.9,930.0,930.0,3.8,1023.6,,,,,,,,0.9,{눈}0315-0816.  {눈}0837-{눈}{강도0}0900-0948.  {눈}1003-1035.  {눈}1115-1226.  {눈}1333-1407.  -{박무}-{박무}{강도0}0900-1435.,232,127.1213,36.7796
1978-01-04,-2.6,-4.6,0.4,1240.0,0.0,0.2,,,1.9,1.0,,,62.0,81.3,1805.0,675.0,0.8,,4.0,0.0,340.0,320.0,,1450.0,9.7,6.6,,15.29,,2.7,,-5.7,-5.7,0.9,,0.0,0.0,0.0,0.0,5.1,6.9,,,0.4,0.4,0.4,415.0,415.0,4.0,1021.3,,,,,,,,0.9,{눈}0337-0415.  {눈}2232-2348.  {박무}2133-,232,127.1213,36.7796
1978-01-05,-0.4,-4.8,3.7,1345.0,640.0,1.2,,,7.65,0.3,,,55.0,77.5,1355.0,1443.0,1.7,,5.5,0.0,270.0,270.0,,1350.0,9.7,3.8,,8.13,,8.3,,-3.1,-5.0,1.4,,0.0,0.0,0.0,0.0,4.9,6.8,,,5.3,5.2,5.6,1015.0,1015.0,4.9,1017.7,,,,,,,,0.8,{눈}0312-{눈}{강도0}0900-1023.  {눈}1244-1312.  -{박무}-{박무}{강도0}0900-1125.,232,127.1213,36.7796
1978-01-06,4.9,-0.6,8.8,1305.0,810.0,,,,,,,,47.0,66.0,1235.0,1809.0,2.1,,5.0,0.0,270.0,270.0,,1330.0,9.7,8.1,,20.13,,2.3,,-0.1,-4.0,2.8,,0.0,0.0,0.0,0.0,4.9,6.9,,,,,,,,6.1,1017.6,,,,,,,,1.2,{박무}0515-{박무}{강도0}0900-0938.  {박무}2135.,232,127.1213,36.7796
1978-01-07,1.6,-2.8,6.6,1355.0,2200.0,,,,,,,,42.0,79.8,1050.0,453.0,0.5,,3.5,0.0,320.0,320.0,,1400.0,9.7,6.4,,18.18,,1.7,,-2.3,-5.3,2.1,,0.0,0.0,0.0,0.0,5.0,6.9,,,,,,,,5.2,1020.5,,,,,,,,1.1,-{박무}-{박무}{강도0}0900-1037.  {박무}2015-{박무}{강도0}2100-,232,127.1213,36.7796
1978-01-08,2.2,-3.8,7.0,1325.0,750.0,5.4,,,1.51,5.4,,,50.0,80.8,1330.0,909.0,1.1,,6.5,0.0,290.0,250.0,,2120.0,9.7,5.2,,16.29,,6.7,,-0.7,-6.3,2.6,,0.0,0.0,0.0,0.0,5.0,6.9,,,0.4,0.4,,2400.0,2400.0,5.8,1017.4,,,,,,,,2.6,{비}1637-1749.  {눈}2338-  -{박무}-{박무}{강도0}0900-1045.,232,127.1213,36.7796
1978-01-09,-2.7,-6.0,0.2,45.0,2330.0,0.0,,,1.2,0.0,,,47.0,57.0,1540.0,3825.0,4.4,,8.5,0.0,320.0,340.0,,1420.0,9.7,4.3,,11.17,,3.3,,-10.6,-6.9,-0.6,,0.0,0.0,0.0,0.0,5.0,6.8,,,0.5,0.2,0.7,27.0,1223.0,2.7,1021.3,,,,,,,,1.4,-{눈}-0027.  {눈}1138-1223.,232,127.1213,36.7796
1978-01-10,-5.4,-9.4,-1.6,1450.0,740.0,,,,,,,,59.0,70.8,0.0,1026.0,1.2,,4.0,0.0,340.0,320.0,,300.0,9.7,6.6,,19.52,,3.0,,-9.3,-10.5,-1.3,,0.0,0.0,0.0,0.0,4.5,6.6,,,,,,,,3.1,1030.2,,,,,,,,0.9,{박무}1725-{박무}{강도0}2100-,232,127.1213,36.7796
