dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2010-01-01,-7.8,-15.8,2009-12-31 22:40:00+00:00,-0.6,2010-01-01 06:42:00+00:00,0.0,0.0,,4.1,2010-01-01 06:56:00+00:00,0.6,225.0,1439,610,126.6444,36.5926
2010-01-02,-0.5,-5.5,2010-01-01 15:01:00+00:00,5.3,2010-01-02 01:25:00+00:00,1.5,0.5,2010-01-02 01:00:00+00:00,7.9,2010-01-02 00:16:00+00:00,1.6,213.7,1440,610,126.6444,36.5926
2010-01-03,-4.1,-8.0,2010-01-02 23:18:00+00:00,0.1,2010-01-03 05:08:00+00:00,0.0,0.0,,5.3,2010-01-03 05:08:00+00:00,1.5,292.5,1440,610,126.6444,36.5926
2010-01-04,-3.5,-4.8,2010-01-03 21:30:00+00:00,1.6,2010-01-04 04:56:00+00:00,0.0,0.0,,7.9,2010-01-04 06:04:00+00:00,2.2,323.4,1440,610,126.6444,36.5926
2010-01-05,-5.8,-8.4,2010-01-05 14:20:00+00:00,-2.8,2010-01-05 04:17:00+00:00,0.5,0.5,2010-01-05 04:00:00+00:00,8.7,2010-01-04 20:41:00+00:00,2.2,326.2,1440,610,126.6444,36.5926
2010-01-06,-9.2,-12.0,2010-01-05 17:46:00+00:00,-5.2,2010-01-06 07:01:00+00:00,0.0,0.0,,4.7,2010-01-06 07:23:00+00:00,1.1,323.4,1440,610,126.6444,36.5926
2010-01-07,-9.6,-14.3,2010-01-07 14:55:00+00:00,-6.6,2010-01-07 05:16:00+00:00,0.0,0.0,,4.8,2010-01-07 03:33:00+00:00,1.2,84.3,1440,610,126.6444,36.5926
2010-01-08,-9.1,-15.9,2010-01-07 21:56:00+00:00,-1.7,2010-01-08 05:58:00+00:00,0.0,0.0,,3.4,2010-01-08 04:10:00+00:00,0.6,120.9,1440,610,126.6444,36.5926
2010-01-09,-6.3,-12.4,2010-01-08 21:34:00+00:00,-2.6,2010-01-09 04:16:00+00:00,0.0,0.0,,3.5,2010-01-09 13:06:00+00:00,0.5,64.6,1440,610,126.6444,36.5926
2010-01-10,-4.5,-8.9,2010-01-09 20:35:00+00:00,-0.2,2010-01-10 06:43:00+00:00,0.0,0.0,,3.5,2010-01-10 02:57:00+00:00,0.7,56.2,1440,610,126.6444,36.5926
2010-01-11,-3.4,-8.2,2010-01-10 22:28:00+00:00,0.1,2010-01-11 04:57:00+00:00,0.0,0.0,,7.9,2010-01-11 11:19:00+00:00,1.2,326.2,1440,610,126.6444,36.5926
2010-01-12,-7.2,-11.6,2010-01-12 10:18:00+00:00,-4.2,2010-01-11 15:03:00+00:00,0.0,0.0,,6.6,2010-01-11 23:28:00+00:00,1.9,326.2,1440,610,126.6444,36.5926
2010-01-13,-11.0,-15.3,2010-01-13 14:17:00+00:00,-6.4,2010-01-13 04:08:00+00:00,0.0,0.0,,7.0,2010-01-13 02:01:00+00:00,1.3,315.0,1431,610,126.6444,36.5926
2010-01-14,-9.3,-17.4,2010-01-13 20:16:00+00:00,-3.4,2010-01-14 04:59:00+00:00,0.0,0.0,,4.1,2010-01-14 05:08:00+00:00,0.8,59.0,1440,610,126.6444,36.5926
2010-01-15,-5.3,-11.2,2010-01-15 14:30:00+00:00,-0.7,2010-01-15 04:11:00+00:00,0.5,0.5,2010-01-15 02:00:00+00:00,6.1,2010-01-15 04:29:00+00:00,1.0,70.3,1440,610,126.6444,36.5926
2010-01-16,-8.3,-14.8,2010-01-15 22:29:00+00:00,-1.0,2010-01-16 05:13:00+00:00,0.0,0.0,,4.3,2010-01-16 06:16:00+00:00,0.8,50.6,1440,610,126.6444,36.5926
2010-01-17,-6.5,-13.7,2010-01-16 21:10:00+00:00,2.5,2010-01-17 05:19:00+00:00,0.0,0.0,,3.6,2010-01-17 06:46:00+00:00,0.7,64.6,1440,610,126.6444,36.5926
2010-01-18,-2.0,-10.2,2010-01-17 18:42:00+00:00,7.2,2010-01-18 03:02:00+00:00,0.0,0.0,,3.5,2010-01-18 03:24:00+00:00,0.5,255.9,1440,610,126.6444,36.5926
2010-01-19,2.6,-5.6,2010-01-18 22:27:00+00:00,12.3,2010-01-19 14:45:00+00:00,0.5,0.5,2010-01-19 10:00:00+00:00,8.6,2010-01-19 14:13:00+00:00,0.8,205.3,1440,610,126.6444,36.5926
2010-01-20,9.3,4.0,2010-01-20 14:55:00+00:00,12.5,2010-01-19 15:22:00+00:00,33.5,7.0,2010-01-20 03:00:00+00:00,8.5,2010-01-19 15:20:00+00:00,1.9,247.5,1439,610,126.6444,36.5926
2010-01-21,-2.7,-6.2,2010-01-21 14:58:00+00:00,4.0,2010-01-20 15:01:00+00:00,1.0,0.5,2010-01-20 16:00:00+00:00,9.7,2010-01-20 17:15:00+00:00,2.4,281.2,1440,610,126.6444,36.5926
2010-01-22,-4.5,-8.4,2010-01-21 22:43:00+00:00,0.1,2010-01-22 06:23:00+00:00,0.0,0.0,,8.0,2010-01-22 07:27:00+00:00,1.8,289.6,1439,610,126.6444,36.5926
2010-01-23,-4.2,-8.3,2010-01-22 22:59:00+00:00,0.6,2010-01-23 06:12:00+00:00,0.0,0.0,,7.2,2010-01-23 05:22:00+00:00,1.1,315.0,1440,610,126.6444,36.5926
2010-01-24,0.3,-6.9,2010-01-23 21:26:00+00:00,5.1,2010-01-24 04:47:00+00:00,0.0,0.0,,8.8,2010-01-24 04:25:00+00:00,2.0,227.8,1440,610,126.6444,36.5926
2010-01-25,-1.6,-8.5,2010-01-25 14:02:00+00:00,4.9,2010-01-24 17:13:00+00:00,0.0,0.0,,9.9,2010-01-25 05:04:00+00:00,2.7,289.6,1440,610,126.6444,36.5926
2010-01-26,-4.9,-11.3,2010-01-25 21:40:00+00:00,3.4,2010-01-26 04:29:00+00:00,0.0,0.0,,6.3,2010-01-26 05:10:00+00:00,1.2,284.0,1440,610,126.6444,36.5926
2010-01-27,0.1,-8.8,2010-01-26 22:47:00+00:00,6.4,2010-01-27 10:30:00+00:00,6.5,1.5,2010-01-27 07:00:00+00:00,9.4,2010-01-27 12:06:00+00:00,1.2,250.3,1440,610,126.6444,36.5926
2010-01-28,1.3,-2.8,2010-01-28 14:59:00+00:00,4.9,2010-01-27 15:01:00+00:00,0.0,0.0,,9.6,2010-01-28 13:21:00+00:00,2.7,275.6,1440,610,126.6444,36.5926
2010-01-29,-2.7,-7.8,2010-01-28 19:53:00+00:00,3.6,2010-01-29 02:44:00+00:00,0.0,0.0,,9.8,2010-01-29 05:27:00+00:00,1.6,295.3,1440,610,126.6444,36.5926
2010-01-30,-0.4,-6.2,2010-01-29 20:54:00+00:00,7.3,2010-01-30 04:04:00+00:00,0.0,0.0,,5.3,2010-01-30 04:40:00+00:00,0.7,267.1,1440,610,126.6444,36.5926
2010-01-31,0.7,-4.8,2010-01-30 20:27:00+00:00,8.8,2010-01-31 03:48:00+00:00,0.0,0.0,,6.5,2010-01-31 04:29:00+00:00,1.2,270.0,1440,610,126.6444,36.5926
2010-02-01,0.2,-1.9,2010-02-01 15:00:00+00:00,5.1,2010-02-01 05:13:00+00:00,0.0,0.0,,7.3,2010-02-01 10:54:00+00:00,2.2,295.3,1440,610,126.6444,36.5926
2010-02-02,-5.1,-9.8,2010-02-02 13:51:00+00:00,-1.4,2010-02-02 04:06:00+00:00,0.0,0.0,,8.9,2010-02-01 18:27:00+00:00,1.9,329.0,1440,610,126.6444,36.5926
2010-02-03,-7.6,-11.6,2010-02-02 22:54:00+00:00,-3.2,2010-02-03 04:53:00+00:00,0.0,0.0,,8.6,2010-02-03 04:00:00+00:00,1.7,323.4,1440,610,126.6444,36.5926
2010-02-04,-4.6,-12.3,2010-02-03 22:26:00+00:00,0.8,2010-02-04 06:43:00+00:00,0.0,0.0,,7.8,2010-02-04 05:17:00+00:00,1.3,340.3,1440,610,126.6444,36.5926
2010-02-05,-4.6,-9.7,2010-02-04 22:13:00+00:00,0.6,2010-02-05 04:40:00+00:00,0.0,0.0,,7.7,2010-02-05 06:06:00+00:00,1.7,250.3,1440,610,126.6444,36.5926
